-60	-55	-54	-58	-55	-86	-88	4
-45	-57	-55	-48	-67	-77	-84	2
-58	-53	-52	-62	-51	-85	-83	4
-41	-60	-54	-43	-73	-80	-74	2
-58	-51	-56	-59	-54	-87	-87	4
-59	-56	-41	-54	-46	-89	-88	4
-51	-62	-59	-50	-66	-85	-77	3
-46	-51	-50	-48	-64	-82	-78	3
-44	-52	-51	-36	-78	-72	-77	2
-65	-62	-60	-65	-68	-83	-82	1
-65	-59	-61	-67	-70	-80	-83	1
-58	-61	-56	-64	-49	-83	-87	4
-34	-55	-58	-15	-65	-73	-72	2
-65	-61	-64	-68	-77	-86	-89	1
-37	-56	-55	-38	-71	-75	-78	2
-55	-53	-51	-62	-56	-85	-87	4
-59	-57	-56	-65	-49	-92	-91	4
-48	-57	-51	-51	-60	-79	-80	3
-52	-51	-49	-56	-65	-81	-83	3
-38	-63	-61	-43	-64	-76	-76	2
-40	-54	-52	-35	-68	-71	-76	2
-59	-52	-44	-64	-43	-87	-83	4
-55	-51	-52	-48	-60	-78	-86	3
-37	-59	-57	-38	-69	-68	-73	2
-37	-57	-51	-39	-71	-71	-72	2
-49	-61	-55	-53	-72	-85	-92	3
-66	-60	-65	-62	-70	-85	-83	1
-38	-58	-60	-42	-66	-82	-79	2
-60	-53	-59	-59	-53	-86	-86	4
-13	-55	-55	-21	-70	-73	-77	2
-38	-55	-51	-41	-72	-70	-73	2
-66	-58	-47	-68	-47	-88	-91	4
-60	-58	-57	-68	-50	-96	-87	4
-54	-54	-50	-54	-60	-81	-79	3
-50	-49	-52	-56	-69	-80	-81	3
-52	-56	-51	-48	-64	-87	-84	3
-59	-55	-48	-59	-46	-86	-83	4
-51	-60	-55	-53	-72	-85	-78	3
-54	-55	-50	-49	-60	-84	-81	3
-41	-58	-60	-47	-70	-82	-74	2
-45	-52	-54	-53	-56	-83	-79	3
-49	-53	-50	-55	-59	-80	-87	3
-52	-50	-53	-54	-68	-76	-85	3
-62	-51	-46	-61	-49	-87	-85	4
-53	-50	-50	-49	-61	-83	-84	3
-57	-61	-56	-60	-53	-86	-86	4
-61	-57	-54	-67	-52	-89	-86	4
-61	-59	-63	-60	-69	-87	-88	1
-62	-59	-62	-60	-68	-80	-89	1
-14	-55	-57	-34	-67	-71	-72	2
-58	-58	-61	-59	-69	-81	-80	1
-40	-59	-57	-39	-67	-81	-74	2
-15	-55	-62	-25	-71	-67	-68	2
-45	-50	-57	-49	-63	-81	-82	3
-58	-61	-52	-61	-53	-85	-88	4
-59	-56	-61	-66	-71	-83	-82	1
-46	-46	-52	-52	-57	-77	-82	3
-38	-62	-57	-41	-77	-65	-68	2
-58	-55	-59	-58	-72	-77	-81	1
-38	-54	-52	-36	-63	-65	-70	2
-45	-58	-58	-40	-70	-86	-80	2
-60	-54	-59	-65	-66	-83	-84	1
-37	-58	-56	-38	-63	-75	-74	2
-37	-61	-61	-37	-71	-68	-73	2
-42	-53	-50	-44	-71	-68	-64	2
-46	-54	-53	-48	-71	-78	-73	2
-41	-56	-60	-39	-72	-74	-66	2
-67	-57	-60	-60	-75	-83	-87	1
-52	-58	-50	-53	-64	-87	-81	3
-52	-55	-51	-49	-64	-87	-84	3
-40	-54	-52	-39	-65	-70	-74	2
-56	-55	-50	-59	-62	-84	-86	4
-48	-47	-51	-52	-60	-74	-79	3
-52	-60	-51	-54	-61	-86	-87	3
-36	-55	-53	-35	-64	-72	-66	2
-60	-59	-58	-63	-72	-82	-79	1
-63	-55	-63	-68	-77	-87	-89	1
-50	-56	-47	-52	-58	-88	-76	3
-60	-52	-46	-56	-48	-84	-86	4
-38	-59	-52	-44	-69	-68	-76	2
-59	-53	-58	-66	-65	-82	-78	1
-61	-56	-53	-62	-63	-84	-91	1
-59	-52	-50	-55	-55	-87	-85	4
-66	-57	-64	-61	-69	-82	-88	1
-50	-58	-54	-51	-60	-80	-82	3
-43	-54	-55	-41	-68	-71	-74	2
-46	-52	-54	-47	-64	-79	-81	3
-39	-56	-53	-46	-57	-73	-77	2
-58	-50	-59	-58	-68	-80	-81	1
-44	-50	-57	-45	-61	-72	-67	2
-38	-57	-60	-39	-68	-73	-74	2
-59	-57	-53	-61	-63	-79	-87	1
-60	-60	-51	-64	-53	-87	-87	4
-49	-53	-55	-46	-59	-81	-93	3
-57	-55	-50	-63	-50	-89	-79	4
-37	-51	-56	-36	-62	-72	-71	2
-48	-53	-60	-36	-58	-73	-77	2
-37	-56	-56	-35	-69	-73	-69	2
-55	-48	-49	-62	-55	-86	-91	4
-37	-55	-55	-42	-69	-66	-69	2
-59	-52	-57	-59	-50	-88	-88	4
-57	-55	-45	-59	-50	-85	-85	4
-59	-58	-48	-53	-55	-80	-88	4
-40	-57	-57	-43	-68	-89	-72	2
-52	-50	-52	-49	-63	-80	-85	3
-64	-59	-65	-70	-84	-90	-89	1
-58	-49	-55	-60	-70	-78	-80	1
-58	-53	-44	-62	-52	-84	-88	4
-38	-50	-49	-42	-69	-73	-77	2
-66	-56	-55	-67	-48	-87	-87	4
-61	-54	-48	-64	-49	-89	-81	4
-34	-61	-61	-36	-60	-73	-76	2
-68	-56	-65	-67	-76	-87	-85	1
-62	-57	-63	-67	-66	-87	-80	1
-41	-58	-56	-40	-73	-69	-73	2
-64	-58	-60	-68	-66	-86	-88	1
-47	-55	-54	-50	-72	-80	-88	3
-58	-65	-47	-71	-51	-86	-83	4
-64	-55	-54	-64	-68	-89	-81	1
-50	-52	-55	-49	-64	-80	-86	3
-52	-57	-58	-57	-68	-86	-83	3
-52	-53	-50	-52	-63	-84	-88	3
-50	-54	-51	-50	-66	-87	-85	3
-61	-56	-47	-60	-48	-83	-87	4
-59	-55	-48	-59	-52	-86	-85	4
-60	-55	-46	-59	-49	-87	-83	4
-50	-54	-53	-46	-66	-78	-87	3
-48	-56	-54	-39	-67	-78	-82	2
-61	-54	-64	-63	-68	-83	-81	1
-61	-53	-50	-59	-46	-84	-93	4
-59	-59	-49	-62	-47	-82	-81	4
-68	-55	-63	-61	-74	-79	-85	1
-45	-54	-54	-48	-63	-78	-82	3
-61	-54	-60	-61	-74	-87	-83	1
-54	-52	-53	-43	-68	-79	-79	3
-60	-59	-50	-58	-45	-87	-89	4
-46	-53	-47	-52	-57	-79	-85	3
-65	-59	-65	-67	-89	-85	-83	1
-47	-53	-55	-57	-62	-80	-78	3
-50	-57	-60	-43	-66	-77	-82	3
-49	-54	-55	-49	-63	-81	-87	3
-62	-53	-64	-65	-69	-85	-85	1
-40	-63	-67	-40	-75	-70	-70	2
-58	-49	-50	-61	-51	-83	-87	4
-48	-55	-51	-55	-69	-88	-80	3
-65	-56	-62	-62	-68	-83	-90	1
-59	-51	-57	-59	-53	-87	-92	4
-59	-56	-49	-58	-52	-88	-84	4
-48	-56	-55	-46	-65	-86	-79	2
-17	-59	-63	-15	-70	-76	-85	2
-62	-59	-52	-69	-46	-91	-98	4
-64	-50	-55	-63	-66	-78	-82	1
-37	-56	-58	-36	-80	-72	-70	2
-61	-52	-60	-61	-68	-80	-84	1
-61	-49	-42	-66	-43	-80	-91	4
-58	-54	-59	-62	-68	-79	-87	1
-39	-53	-51	-40	-64	-67	-64	2
-47	-58	-55	-45	-62	-79	-85	2
-59	-52	-61	-61	-76	-75	-78	1
-43	-60	-55	-46	-71	-76	-79	2
-57	-57	-59	-61	-67	-80	-83	1
-51	-55	-53	-50	-63	-79	-86	3
-39	-51	-57	-36	-64	-65	-71	2
-61	-55	-52	-61	-44	-88	-92	4
-60	-56	-44	-59	-46	-81	-86	4
-57	-55	-58	-64	-65	-87	-79	1
-50	-52	-49	-45	-64	-76	-78	3
-68	-58	-65	-67	-83	-89	-86	1
-64	-59	-68	-67	-74	-82	-82	1
-49	-52	-61	-52	-61	-82	-88	3
-62	-52	-57	-60	-70	-81	-74	1
-61	-53	-54	-58	-71	-82	-86	1
-39	-55	-54	-48	-76	-73	-80	2
-51	-53	-52	-54	-65	-77	-87	3
-60	-52	-49	-61	-51	-85	-81	4
-63	-53	-60	-68	-67	-87	-85	1
-66	-57	-56	-64	-49	-89	-87	4
-40	-52	-53	-39	-61	-75	-73	2
-34	-54	-61	-34	-70	-72	-73	2
-48	-53	-51	-43	-64	-74	-77	3
-56	-55	-56	-59	-64	-83	-83	1
-59	-57	-52	-71	-49	-92	-88	4
-43	-55	-55	-39	-69	-67	-71	2
